Tweets,Classified,FreqWord
 ryan harkness due political sorrow california since november nth southern california drought abruptly ended threes,Negative,drought
 drought drives huge deadly cobra offered water bottle,Positive,drought
 drought drives huge deadly cobra offered water bottle,Positive,water
 despite famine scarcity clean water rude cholera epidemic us saudi coalition continues bomb farms rude water pumps,Negative,water
 despite famine scarcity clean water rude cholera epidemic us saudi coalition continues bomb farms rude water pumps,Negative,water
 despite famine scarcity clean water rude cholera epidemic us saudi coalition continues bomb farms rude water pumps,Negative,scarcity
 despite famine scarcity clean water rude cholera epidemic us saudi coalition continues bomb farms rude water pumps,Negative,business
 bail warned severe drought jaka a post http tcohtgicuhemibanglibali today,Negative,drought
 bail warned severe drought jaka a post http tcohtgicuhemibanglibali today,Negative,water
 bail warned severe drought jaka a post http tcohtgicuhemibanglibali today,Negative,farmers
 bail warned severe drought jaka a post http tcohtgicuhemibanglibali today,Negative,scarcity
 bail warned severe drought jaka a post http tcohtgicuhemibanglibali today,Negative,heat
 bail warned severe drought jaka a post http tcohtgicuhemibanglibali today,Negative,severe
 built ethic know save us awful drought dying,Positive,drought
 built ethic know save us awful drought dying,Positive,business
 reuters television severe drought devastates south europe cropshttpcoupijdlwmfrx,Moderately Negative,drought
 reuters television severe drought devastates south europe cropshttpcoupijdlwmfrx,Moderately Negative,severe
 changer mindset despite famine scarcity clean water rude cholera epidemic us saudi coalition continues bomb farms rude water pumps heard,Negative,water
 changer mindset despite famine scarcity clean water rude cholera epidemic us saudi coalition continues bomb farms rude water pumps heard,Negative,water
 changer mindset despite famine scarcity clean water rude cholera epidemic us saudi coalition continues bomb farms rude water pumps heard,Negative,scarcity
 changer mindset despite famine scarcity clean water rude cholera epidemic us saudi coalition continues bomb farms rude water pumps heard,Negative,business
 jamie larsen yes drought taken toll last month would thought fall rye would beet knee today sad,Moderately Negative,drought
 rot ski chelsea fans tweet came loved int call ante laughing loud someone initiative drought offensively guys,Positive,drought
maharasraregions were worst hit by the drought and have also been impacted by unseasonal rain,Negative,drought
 drought hit farmers tamilnadu back delhi renewed vigour protest farmers,Negative,drought
 drought hit farmers tamilnadu back delhi renewed vigour protest farmers,Negative,farmers
 drought hit farmers tamilnadu back delhi renewed vigour protest farmers,Negative,farmers
drought kills large amount of farmers,Negative,drought
drought kills large amount of farmers,Negative,farmers
 iraq slides toward state failure us bright military violence climate change water scarcity rude energy volatility,Negative,water
 iraq slides toward state failure us bright military violence climate change water scarcity rude energy volatility,Negative,scarcity
 iraq slides toward state failure us bright military violence climate change water scarcity rude energy volatility,Negative,business
 europe wide research repo revealed common staples threat water scarcity drought developing world,Negative,drought
 europe wide research repo revealed common staples threat water scarcity drought developing world,Negative,water
 europe wide research repo revealed common staples threat water scarcity drought developing world,Negative,scarcity
the poor rain points meterological drought,Negative,drought
 climate news ca give break drought climate change pathetic,Negative,drought
 climate news ca give break drought climate change pathetic,Negative,scarcity
 watch drought drought asks capetown vloggerhttpcorehokxcef,Positive,drought
 watch drought drought asks capetown vloggerhttpcorehokxcef,Positive,drought
maharastra farmers facing severe agrarian distress due to drought,Negative,drought
maharastra farmers facing severe agrarian distress due to drought,Negative,farmers
maharastra farmers facing severe agrarian distress due to drought,Negative,severe
drought kills,Negative,drought
 kith hair kastelorizo grins less end water scarcity old st cascade effect high tourist demand climate desalination failure sim nexus,Moderately Negative,water
 kith hair kastelorizo grins less end water scarcity old st cascade effect high tourist demand climate desalination failure sim nexus,Moderately Negative,scarcity
 experiencing one hell drought,Negative,drought
 kanye best drought drives huge deadly cobra offered water bottle,Positive,drought
 kanye best drought drives huge deadly cobra offered water bottle,Positive,water
 madison carver drought famine natural disaster baby around,Negative,drought
 madison carver drought famine natural disaster baby around,Negative,drought
 drought is ah killer eduaubdedubueduaubeedubu aeduaubcedubfubeuduufef,Negative,drought
 severe drought devastates south europe crops http cosmo mmp,Negative,drought
 severe drought devastates south europe crops http cosmo mmp,Negative,crops
 severe drought devastates south europe crops http cosmo mmp,Negative,severe
 severe drought devastates south europe crops http cosmo mmp,Negative,crops
 byu lies us your fan need sec endure therein katherine drought month edu aube edu bu,Negative,drought
 byu lies us your fan need sec endure therein katherine drought month edu aube edu bu,Negative,business
 byu lies us your fan need sec endure therein katherine drought month edu aube edu bu,Negative,business
 kirenrijijupemakhandubjp thus hypocrisy first farmers lost everything due drought,Negative,drought
 kirenrijijupemakhandubjp thus hypocrisy first farmers lost everything due drought,Negative,farmers
 severe drought devastates south europe crops http cosmo tm mp see,Negative,drought
 severe drought devastates south europe crops http cosmo tm mp see,Negative,crops
 severe drought devastates south europe crops http cosmo tm mp see,Negative,severe
 severe drought devastates south europe crops http cosmo tm mp see,Negative,crops
 severe drought devastates south europe cropshttpcoupijdlwmfrx,Negative,drought
 severe drought devastates south europe cropshttpcoupijdlwmfrx,Negative,severe
 japan times heat drought feed wildfires across italy threatening beaches near rome,Negative,drought
 japan times heat drought feed wildfires across italy threatening beaches near rome,Negative,heat
 tone green planet foot king cobra desperate escape drought gently drinks water bottle,Positive,drought
 tone green planet foot king cobra desperate escape drought gently drinks water bottle,Positive,water
 widespread drought followed by freak rains and hailstorms pushed many farmers over edge,Negative,drought
 widespread drought followed by freak rains and hailstorms pushed many farmers over edge,Negative,farmers
 festival season got bank account dryer california drought hop escape payment plan,Positive,drought
 heat drought feed wildfires italy beaches near threatened httpcoxkpgshxpeg,Negative,drought
 heat drought feed wildfires italy beaches near threatened httpcoxkpgshxpeg,Negative,heat
ground water depletion signals hydrological drought,Positive,drought
ground water depletion signals hydrological drought,Positive,water
 times live watch drought drought asks capetown vloggerhttpcorehokxcef,Positive,drought
 times live watch drought drought asks capetown vloggerhttpcorehokxcef,Positive,drought
 attention knowledge podcast future climate induced drought water scarcity interest f,Positive,drought
 attention knowledge podcast future climate induced drought water scarcity interest f,Positive,water
 attention knowledge podcast future climate induced drought water scarcity interest f,Positive,farmers
 attention knowledge podcast future climate induced drought water scarcity interest f,Positive,scarcity
 drought never cites,Positive,drought
 heat drought feed wildfires italy beaches near threatened httpcohesszxqz,Negative,drought
 heat drought feed wildfires italy beaches near threatened httpcohesszxqz,Negative,heat
 heat drought feed wildfires italy beaches near threatened italian,Negative,drought
 heat drought feed wildfires italy beaches near threatened italian,Negative,heat
 drought worst,Negative,drought
 systemic failure million californians lack safe drinking water,Negative,water
drop yield means we have agricultural drought,Negative,drought
 ashok geh lot our govt made eff os ensure farmer sleep without meal drought rare got failed provide,Negative,drought
 ashok geh lot our govt made eff os ensure farmer sleep without meal drought rare got failed provide,Negative,farmers
 dram ian esque main man ended our year trophy drought brought silverware back old trafford eduaubdedubue,Moderately Positive,drought
 fake u cloud brings rain crops drought,Negative,drought
 fake u cloud brings rain crops drought,Negative,drought
 fake u cloud brings rain crops drought,Negative,crops
 fake u cloud brings rain crops drought,Negative,crops
 fake u cloud brings rain crops drought,Negative,business
 drought eduaubdedubua,Positive,drought
 tog steep fights doubts got thankful rain cause got drought,Negative,drought
 want news raider baseball ends year drought beat huskies sectional final http co room wxt i,Moderately Positive,drought
 want news raider baseball ends year drought beat huskies sectional final http co room wxt i,Moderately Positive,scarcity
 want news raider baseball ends year drought beat huskies sectional final http co room wxt i,Moderately Positive,economy
 want news raider baseball ends year drought beat huskies sectional final http co room wxt i,Moderately Positive,business
 former eve on captain phi neville firmly believe swayne rooney end toffees trophy drought ef cpl,Positive,drought
 former eve on captain phi neville firmly believe swayne rooney end toffees trophy drought ef cpl,Positive,severe
 former eve on captain phi neville firmly believe swayne rooney end toffees trophy drought ef cpl,Positive,economy
 oh drought never cites,Positive,drought
 objections world kannada meet amidst drought,Positive,drought
 black pink active omg the month drought woh,Positive,drought
 bringing rain crops long drought also known bringing music uslonghiatuseduaubdedubu,Positive,drought
 bringing rain crops long drought also known bringing music uslonghiatuseduaubdedubu,Positive,crops
 bringing rain crops long drought also known bringing music uslonghiatuseduaubdedubu,Positive,crops
 sec rules top updating demands cloud bringing rain crops clique drought new music,Positive,drought
 sec rules top updating demands cloud bringing rain crops clique drought new music,Positive,crops
 sec rules top updating demands cloud bringing rain crops clique drought new music,Positive,crops
 soulmates keep touch deserve drought millions us like army s actually streaming http co,Positive,drought
 soulmates keep touch deserve drought millions us like army s actually streaming http co,Positive,farmers
 soulmates keep touch deserve drought millions us like army s actually streaming http co,Positive,crops
 soulmates keep touch deserve drought millions us like army s actually streaming http co,Positive,scarcity
 soulmates keep touch deserve drought millions us like army s actually streaming http co,Positive,severe
 soulmates keep touch deserve drought millions us like army s actually streaming http co,Positive,crops
 soulmates keep touch deserve drought millions us like army s actually streaming http co,Positive,economy
 soulmates keep touch deserve drought millions us like army s actually streaming http co,Positive,business
 soulmates keep touch deserve drought millions us like army s actually streaming http co,Positive,business
 rain crops drought j trough,Positive,drought
 rain crops drought j trough,Positive,crops
 rain crops drought j trough,Positive,crops
 citron drought long eduaubdedubu,Positive,drought
 instant message used sex everyday eduaubdedubu drought city,Positive,drought
 instant message used sex everyday eduaubdedubu drought city,Positive,scarcity
 ftp friendly fire bears went serious drought linebacker position hats though,Negative,drought
 en weirs drought issues,Positive,drought
 instant message dry spell major drought eduaubeedubuaeduaubcedub fubduduufefeduaubeedubub eduaubcedubfubduduufefed uaubdedubueduaubdedubu,Positive,drought
 reading water footprint nice repo vulnerabilities eu economy global water scarcity drought cocoa included,Positive,drought
 reading water footprint nice repo vulnerabilities eu economy global water scarcity drought cocoa included,Positive,water
 reading water footprint nice repo vulnerabilities eu economy global water scarcity drought cocoa included,Positive,water
 reading water footprint nice repo vulnerabilities eu economy global water scarcity drought cocoa included,Positive,scarcity
 reading water footprint nice repo vulnerabilities eu economy global water scarcity drought cocoa included,Positive,economy
 neville rooney end ever tons trophy drought former toffees captain thinks england time leading,Positive,drought
 neville rooney end ever tons trophy drought former toffees captain thinks england time leading,Positive,severe
 heat drought feed wildfires italy beaches near threatened http co playing btz c,Negative,drought
 heat drought feed wildfires italy beaches near threatened http co playing btz c,Negative,crops
 heat drought feed wildfires italy beaches near threatened http co playing btz c,Negative,scarcity
 heat drought feed wildfires italy beaches near threatened http co playing btz c,Negative,heat
 heat drought feed wildfires italy beaches near threatened http co playing btz c,Negative,crops
 heat drought feed wildfires italy beaches near threatened http co playing btz c,Negative,economy
 heat drought feed wildfires italy beaches near threatened http co playing btz c,Negative,economy
 ida want drought eduaubdedubua,Positive,drought
 love drought crazy edu aubdedubuaeduaubdedubuae duaubdedubuaeduaubdedubu a,Positive,drought
 love drought crazy edu aubdedubuaeduaubdedubuae duaubdedubuaeduaubdedubu a,Positive,water
 love drought crazy edu aubdedubuaeduaubdedubuae duaubdedubuaeduaubdedubu a,Positive,farmers
 love drought crazy edu aubdedubuaeduaubdedubuae duaubdedubuaeduaubdedubu a,Positive,scarcity
 love drought crazy edu aubdedubuaeduaubdedubuae duaubdedubuaeduaubdedubu a,Positive,heat
 attention somalia see fishing helping somali youth prevent famine communities drought,Positive,drought
 attention somalia see fishing helping somali youth prevent famine communities drought,Positive,drought
 la a james how dare that ng run mouth pockets drought aye,Positive,drought
 la a james how dare that ng run mouth pockets drought aye,Positive,water
 la a james how dare that ng run mouth pockets drought aye,Positive,farmers
 la a james how dare that ng run mouth pockets drought aye,Positive,scarcity
 la a james how dare that ng run mouth pockets drought aye,Positive,heat
 drought killing farmers lot,Negative,drought
 drought killing farmers lot,Negative,farmers
 drought famine natural disasters,Negative,drought
 drought famine natural disasters,Negative,drought
 albeit rather weak drought,Moderately Negative,drought
 ads mitre sic policy podcast drought water management water insecure future might interest,Positive,drought
 ads mitre sic policy podcast drought water management water insecure future might interest,Positive,water
 ads mitre sic policy podcast drought water management water insecure future might interest,Positive,water
 mama swoon drought soon attacking,Negative,drought
 dare nag run mouth pockets drought aye,Negative,drought
 typical city government city council brandon south dakota bans watering due week drought today inches rain forecast,Positive,drought
 typical city government city council brandon south dakota bans watering due week drought today inches rain forecast,Positive,scarcity
 typical city government city council brandon south dakota bans watering due week drought today inches rain forecast,Positive,scarcity
 marlnayeezyrsniggaz drought eduaubdedubu,Positive,drought
 nascar drought dennyhemlineduaubcedubfu,Positive,drought
 raider baseball ends year drought beat huskies sectional final http co room wxt i,Moderately Positive,drought
 raider baseball ends year drought beat huskies sectional final http co room wxt i,Moderately Positive,scarcity
 raider baseball ends year drought beat huskies sectional final http co room wxt i,Moderately Positive,economy
 raider baseball ends year drought beat huskies sectional final http co room wxt i,Moderately Positive,business
 trappers said today marks year anniversary little wanes mixtape drought,Positive,drought
 dj steer yd ceilings dedication the drought and tha caer iv shaped life,Positive,drought
 twice cant talk drought nigga rd rd,Moderately Positive,drought
 trapp in drought money vault,Positive,drought
 trapp in drought money vault,Positive,business
 pop sic drought looms could team scientists prove cloud seeding works coiaaqsihx,Negative,drought
 drought devastates south europe crops madrid italian durum wheat dairy farmer attilio cc awwa,Negative,drought
 drought devastates south europe crops madrid italian durum wheat dairy farmer attilio cc awwa,Negative,farmers
 drought devastates south europe crops madrid italian durum wheat dairy farmer attilio cc awwa,Negative,crops
 drought devastates south europe crops madrid italian durum wheat dairy farmer attilio cc awwa,Negative,crops
 instant message drought run,Positive,drought
 call kennnloldontdomebooim going drought ed uaubdedubueduaubdedubuab,Positive,drought
 augustus consult south africa drought western cape dam levels still almost half last years volumes,Positive,drought
 drought long eduaubdedubu,Positive,drought
 enjoy next year ws drought cubseduaubdedubua,Positive,drought
 enjoying young talent salty year finals drought rockets fans feel need relevant,Positive,drought
 climate news ca give break drought climate change pathetic,Negative,drought
 climate news ca give break drought climate change pathetic,Negative,scarcity
drought brought  by  delayed inadequate monsoon,Negative,drought
 world bank natural hazards know borders together combat drought rude de se ification httptcolkpywelcam,Negative,drought
 world bank natural hazards know borders together combat drought rude de se ification httptcolkpywelcam,Negative,severe
 heat drought feed wildfires italy beaches near threatened httpcokgnzutxss,Negative,drought
 heat drought feed wildfires italy beaches near threatened httpcokgnzutxss,Negative,heat
 experiencing one hell drought,Negative,drought
 laughing cause drought ended uaubdedubu,Positive,drought
 four year drought lakes back top,Moderately Positive,drought
 heat drought feed wildfires italy beaches near threatened http crying loud laughing loud qg jr mt,Negative,drought
 heat drought feed wildfires italy beaches near threatened http crying loud laughing loud qg jr mt,Negative,heat
 edu aube edu bu football season almost drought almost ed uaubdedubuaeduaubdedubua,Moderately Positive,drought
 edu aube edu bu football season almost drought almost ed uaubdedubuaeduaubdedubua,Moderately Positive,business
 e marina nicole instant message drought run,Positive,drought
 e marina nicole instant message drought run,Positive,water
 e marina nicole instant message drought run,Positive,farmers
 e marina nicole instant message drought run,Positive,heat
 e marina nicole instant message drought run,Positive,severe
 e marina nicole instant message drought run,Positive,economy
 e marina nicole instant message drought run,Positive,business
 heat drought feed wildfires italy beaches near threatened httpcoghfdgv food thought,Negative,drought
 heat drought feed wildfires italy beaches near threatened httpcoghfdgv food thought,Negative,heat
 drought wheezy gives life,Positive,drought
 collarbone nous rain crops drought j trough,Positive,drought
 collarbone nous rain crops drought j trough,Positive,crops
 collarbone nous rain crops drought j trough,Positive,crops
 systemic failure million californians lack safe drinking water water deeply,Negative,water
 systemic failure million californians lack safe drinking water water deeply,Negative,water
 issue drought eduaubdedubuad,Positive,drought
 young million adyontrabouuuuu drought eduaubdedubuad,Positive,drought
 neville rooney end ever tons trophy drought httpcocryingeyesjebfkdp,Positive,drought
 neville rooney end ever tons trophy drought httpcocryingeyesjebfkdp,Positive,severe
